,SalmonPrice,CodPrice,HalibutPrice,CPI,TWI
2016-02-14,59.83,20.655352651334884,63.37096733210802,101.65,116.848
2016-02-21,60.86,20.716700603714624,64.34603073461402,101.78,116.548
2016-02-28,61.33,20.580128320666827,64.4607839586216,101.9,116.24600000000001
2016-03-06,58.38,20.571109386380634,64.28058675491755,102.02,115.796
2016-03-13,61.51,21.146546608817676,64.21505927644954,102.15,115.476
2016-03-20,68.09,20.85809319358608,63.74328751393157,102.28,115.944
2016-03-27,66.68,20.587493875648853,62.413223794688534,102.4,115.82000000000001
2016-04-03,63.06,20.393098972521177,59.6865197601637,102.5,115.44749999999999
2016-04-10,57.67,20.39355228085049,60.987695759947805,102.6,115.306
2016-04-17,58.87,20.211421585207464,60.751481334064295,102.7,114.218
2016-04-24,57.7,20.397084217052072,62.73337596809916,102.8,113.53800000000001
2016-05-01,61.17,21.059650705057354,63.15414898299878,102.88,113.492
2016-05-08,67.41,21.781745723357187,62.201384386537796,102.95,113.6325
2016-05-15,70.39,23.137426598033223,62.03154822050074,103.02,113.686
2016-05-22,60.05,22.476081022026477,64.51311303559456,103.1,114.35333333333334
2016-05-29,60.73,21.957968024313264,65.12326186079812,103.1,114.48600000000002
2016-06-05,70.72,22.091874185608802,63.564418656703566,103.25,114.46600000000001
2016-06-12,76.32,21.45274185557885,63.395600077166556,103.4,113.41399999999999
2016-06-19,72.93,21.550799946472278,64.24976111439446,103.55,114.78599999999999
2016-06-26,70.07,20.30506932762631,62.707542521862784,103.7,115.03399999999999
2016-07-03,79.68,19.272699563663814,59.180232655452336,103.88,114.24600000000001
2016-07-10,79.11,20.260572952432085,62.800046665432994,104.05,113.86600000000001
2016-07-17,68.85,19.75136411127739,64.89549562908194,104.22,114.042
2016-07-24,60.91,18.994665366087204,65.46185549278258,104.4,114.44200000000001
2016-07-31,59.09,19.5839408813357,65.5228422988237,104.4,115.258
2016-08-07,60.48,20.69444958735554,65.93117673048602,104.22,114.78600000000002
2016-08-14,59.33,19.81389654373306,64.13783960720133,104.05,113.204
2016-08-21,57.25,19.325259372899595,64.40370339197037,103.88,112.19200000000001
2016-08-28,57.6,20.136395175827925,63.01965000518339,103.7,112.576
2016-09-04,55.62,22.65860717394602,61.89769546938801,103.8,112.982
2016-09-11,52.61,21.784559306300803,63.063245559520254,103.9,112.21399999999998
2016-09-18,53.6,21.769273898182956,61.42235765364662,104.0,112.354
2016-09-25,55.49,23.96465160553206,57.13730579188851,104.1,111.61200000000001
2016-10-02,61.29,20.673532337944636,52.65174014475329,104.22,109.992
2016-10-09,63.67,23.79486602780851,50.903433118060775,104.35,108.556
2016-10-16,65.29,22.958261562962065,50.83781378027488,104.48,109.226
2016-10-23,66.39,24.035290410381823,49.43853434682099,104.6,108.69800000000001
2016-10-30,64.22,24.23196640538695,48.66483571068473,104.6,109.194
2016-11-06,62.16,22.738105798465305,51.177404681410515,104.65,109.13
2016-11-13,67.23,23.104878714472353,51.15908621798125,104.7,109.73800000000001
2016-11-20,65.09,22.68825984719896,52.969874210544674,104.75,110.476
2016-11-27,66.58,21.63032239717798,51.63920137266329,104.8,110.65799999999999
2016-12-04,69.78,22.26526651101444,55.227071437837914,104.68,110.07000000000001
2016-12-11,75.62,21.467775928171868,55.09135056655851,104.55,109.524
2016-12-18,80.07,28.14849550763325,56.838012293525004,104.42,110.226
2016-12-25,79.37,22.913039726842612,64.12399753238742,104.3,111.27000000000001
2017-01-01,80.25,23.07832900407229,64.12221699361784,104.22,111.515
2017-01-08,76.23,25.166909646286026,65.41732038893224,104.15,110.774
2017-01-15,74.64,25.14223601850543,66.45863649345173,104.08,110.86800000000001
2017-01-22,71.39,25.26973161870918,65.32669171837222,104.0,110.53800000000001
2017-01-29,65.98,25.477227783822965,65.39320409528518,104.0,109.624
2017-02-05,65.31,23.42197387152781,63.06095975929261,104.1,108.798
2017-02-12,64.77,22.83446272132467,63.0792772542578,104.2,109.14200000000001
2017-02-19,63.32,22.920567055984417,63.45120265413326,104.3,109.322
2017-02-26,59.13,22.92579150141299,64.16194657639845,104.4,108.91399999999999
2017-03-05,58.29,22.763166755219302,63.93043598361033,104.5,109.29400000000001
2017-03-12,63.39,22.32214058134567,64.95817125805937,104.6,110.57000000000001
2017-03-19,64.24,22.68312763922959,64.07792141951838,104.7,111.9
2017-03-26,63.67,22.724883036028213,63.47466174280041,104.8,112.056
2017-04-02,62.82,22.4526793421169,62.60864520391997,104.82,112.81199999999998
2017-04-09,64.92,22.157377490711728,65.7813581031807,104.85,112.758
2017-04-16,65.58,22.406888334157717,63.15944881889763,104.88,112.38999999999999
2017-04-23,63.04,22.37605853817179,62.83750059304746,104.9,113.015
2017-04-30,66.75,23.5093653261671,63.57085959582217,104.9,114.07000000000001
2017-05-07,72.67,22.423228532236855,64.56108872571731,104.98,115.31
2017-05-14,74.98,22.06858500056884,64.16808899912819,105.05,114.91600000000001
2017-05-21,74.49,20.812165649117375,63.32002541878181,105.12,114.07
2017-05-28,67.56,20.698671739614117,63.62448404206769,105.2,113.6525
2017-06-04,72.13,21.729785889356176,64.32321348314606,105.3,114.508
2017-06-11,68.89,23.985927866290286,64.53566664067539,105.4,115.2375
2017-06-18,71.29,22.15561714270475,65.02739808787325,105.5,114.522
2017-06-25,70.87,23.031721022603048,65.09597273655983,105.6,114.61600000000001
2017-07-02,65.38,22.14723020572475,62.80881554605283,105.68,115.07000000000001
2017-07-09,64.01,26.088143172614032,63.945952056472116,105.75,114.65799999999999
2017-07-16,65.08,23.48443882760861,63.88797418468193,105.82,114.0
2017-07-23,60.49,22.925706042850734,64.27048057976823,105.9,112.204
2017-07-30,58.49,22.52861299723147,63.763811111063134,105.9,111.66600000000001
2017-08-06,56.43,25.058064612087424,64.26206795766996,105.68,111.64200000000001
2017-08-13,52.81,24.070956610231963,64.45766926412547,105.45,111.73400000000001
2017-08-20,54.1,22.429628600100127,64.75853690509942,105.22,111.572
2017-08-27,51.64,23.421169040767943,62.37509342501441,105.0,110.80999999999999
2017-09-03,52.77,22.329672130886006,61.69597731446008,105.18,110.55999999999999
2017-09-10,50.64,23.017506543758486,60.5078464029609,105.35,111.008
2017-09-17,51.65,21.786528060092134,57.18015666642366,105.52,112.126
2017-09-24,54.55,22.241441799099228,51.746151074183544,105.7,111.646
2017-10-01,55.12,23.89256841462857,49.708273012996365,105.7,111.89200000000001
2017-10-08,51.83,23.018209330727817,50.18002360615563,105.7,112.276
2017-10-15,52.78,23.05976360525058,50.463506205107315,105.7,112.08399999999999
2017-10-22,49.96,22.05589556483741,50.65558423059838,105.7,112.128
2017-10-29,44.9,22.668459337172244,49.61224871607716,105.7,113.026
2017-11-05,46.66,23.604208598296406,55.053335090251366,105.75,113.726
2017-11-12,52.1,21.97819505890196,54.6460529618024,105.8,113.35
2017-11-19,45.56,22.34715699563362,56.156361057137225,105.85,114.828
2017-11-26,44.93,22.890217334657827,54.321806838181494,105.9,115.40799999999999
2017-12-03,50.99,23.34882601425744,54.15367734033037,105.9,116.598
2017-12-10,50.41,22.73886394942168,55.71057912810887,105.9,116.768
2017-12-17,50.52,25.88163536143399,56.33009913446844,105.9,117.082
2017-12-24,54.17,23.477723480616703,65.9246734331619,105.9,117.934
2017-12-31,56.12,26.041237159441867,63.95431688896654,105.9,117.49666666666667
2018-01-07,54.33,26.077065187776487,63.058221635986264,105.78,116.235
2018-01-14,52.99,25.958998125384788,64.4450596512695,105.65,115.28599999999999
2018-01-21,55.17,26.447400753735984,62.47381387564799,105.52,114.46400000000001
2018-01-28,53.35,25.600945121331268,63.38195909133568,105.4,114.326
2018-02-04,51.82,25.074491525126078,62.623073030560434,105.65,113.674
2018-02-11,54.53,25.12501045393103,62.79551885259943,105.9,115.04400000000001
2018-02-18,61.65,25.204968402352865,62.4236685604173,106.15,115.22999999999999
2018-02-25,67.15,25.208818245658208,63.40829268292683,106.4,114.69800000000001
2018-03-04,71.44,25.378316707170942,63.725459614685796,106.48,114.18800000000002
2018-03-11,70.14,25.698573549575045,64.3030758293203,106.55,113.862
2018-03-18,66.71,25.97303873134741,65.1398000593883,106.62,112.86800000000001
2018-03-25,77.68,25.984380910914577,62.40188257817485,106.7,112.77000000000001
2018-04-01,75.78,25.78085774420255,60.73631089497483,106.82,113.23
2018-04-08,70.18,26.11418208822275,61.07997895290713,106.95,113.65
2018-04-15,69.18,25.227349958724396,60.454792516832576,107.08,113.22999999999999
2018-04-22,68.89,25.011369178425998,60.71735070736466,107.2,113.08600000000001
2018-04-29,75.58,25.903050254904116,60.47327640512353,107.2,113.828
2018-05-06,80.83,24.804656885222077,64.84193613992272,107.2,113.78
2018-05-13,80.46,24.417283056123384,64.21128955544086,107.2,113.5
2018-05-20,78.82,25.013452115272656,64.2164158227494,107.2,113.37
2018-05-27,66.51,26.47552033299989,64.89632214334416,107.2,112.7425
2018-06-03,60.89,25.421946443677935,63.536551155115504,107.4,113.43800000000002
2018-06-10,65.26,25.15562244682369,63.428267579695486,107.6,112.84
2018-06-17,60.71,25.510409241245878,65.56894799869362,107.8,112.21
2018-06-24,55.93,28.329537253541222,65.39385529997794,108.0,112.17
2018-07-01,56.33,27.591607726814708,65.46834989245109,108.22,112.024
2018-07-08,53.05,25.53403024787224,65.27073781328234,108.45,111.65799999999999
2018-07-15,53.74,24.243424816762875,65.88707399950806,108.68,111.43599999999999
2018-07-22,53.6,24.764115474021782,64.89046883344777,108.9,112.26400000000001
2018-07-29,54.27,24.184828130430454,63.484298834878764,108.9,112.542
2018-08-05,54.54,24.89813635219278,64.69417626418017,108.78,112.476
2018-08-12,50.45,23.953513385998704,64.42696228413405,108.65,112.24000000000001
2018-08-19,49.65,24.165073390840455,63.11568239897781,108.52,112.832
2018-08-26,55.46,24.31259241493257,61.60379255365846,108.4,113.494
2018-09-02,62.67,24.304493029550763,61.48561020933065,108.55,113.41600000000001
2018-09-09,60.78,24.22707571507098,60.942934332685844,108.7,113.86399999999999
2018-09-16,57.63,25.783218655227923,60.272717493613015,108.85,112.862
2018-09-23,57.49,25.778555471834153,52.51000322631072,109.0,111.994
2018-09-30,54.65,25.542191492266582,53.599285288734315,109.0,111.71599999999998
2018-10-07,56.74,26.641095241844756,53.685833337452365,108.95,111.29400000000001
2018-10-14,56.93,27.021721275587602,51.691585131646356,108.9,111.65599999999999
2018-10-21,56.68,26.90077771209579,52.67197655670156,108.85,111.364
2018-10-28,58.24,26.925815559591527,58.03103856246592,108.8,112.048
2018-11-04,55.58,28.96022687851505,57.8220442927231,108.95,112.548
2018-11-11,53.4,27.064934098176753,58.03449653009916,109.1,112.79
2018-11-18,50.28,25.932242710684207,57.76348889410413,109.25,113.578
2018-11-25,53.87,26.625562038668456,56.49851561208514,109.4,114.758
2018-12-02,57.42,27.178860184938717,56.32220404652416,109.38,115.054
2018-12-09,57.48,26.41701062935626,56.00729258671432,109.35,114.54400000000001
